event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
IRN35973,2026-03-04,2026,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,1,Military Forces of Israel (2022-),,8,18,,364,Middle East,Iran,Isfahan,Isfahan,Central,Isfahan,32.6525,51.6746,2,FARS News Agency (Iran),National,"Interception: On 4 March 2026, Iranian authorities claimed that IRGC intercepted and shot down two Israeli Hermes reconnaissance drones over Isfahan province (coded to Isfahan (Isfahan, Isfahan)). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026.",0,US-Iran regional conflict,1772716448,,,,
IRN35974,2026-03-04,2026,1,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,1,Military Forces of the United States (2025-),,8,18,,364,Middle East,Iran,Isfahan,Isfahan,Central,Isfahan,32.6525,51.6746,2,FARS News Agency (Iran),National,"Interception: On 4 March 2026, Iranian authorities claimed that IRGC intercepted and shot down an American MQ-9 drone over Isfahan province (coded to Isfahan (Isfahan, Isfahan)). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026.",0,US-Iran regional conflict,1772716448,,,,
IRN35975,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Military Forces of Iran (1989-),,1,18,,364,Middle East,Iran,Kermanshah,Gilan-e-Gharb,Central,Gilan e Gharb,34.1421,45.9203,1,Mamlekate,New media,"On 4 March 2026, Israeli forces targeted an Iranian laucnher in Gilan e Gharb (Gilan-e-Gharb, Kermanshah) (coded as air/drone strikes by default). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35976,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,East Azerbaijan,Azarshahr,Howmeh,Azarshahr,37.7590,45.9783,2,Mamlekate,New media,"On 4 March 2026, Israeli forces targeted an unspecified target near Azarshahr (Azarshahr, East Azerbaijan) (coded as air/drone strikes by default). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35977,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,1,18,,364,Middle East,Iran,Yazd,Yazd,Central,Yazd,31.8972,54.3675,2,Mamlekate,New media,"On 4 March 2026, Israeli forces targeted IRGC ballistic missile sites in and around Yazd (Yazd, Yazd) (coded as air/drone strikes by default). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting.",0,US-Iran regional conflict,1773059279,,,,
IRN35979,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Military Forces of Iran (1989-),,1,18,,364,Middle East,Iran,West Azerbaijan,Bukan,Central,Bukan,36.5210,46.2089,2,Mamlekate,New media,"On 4 March 2026, Israeli forces targeted an unspecified target near Bukan (Bukan, West Azerbaijan) (coded as air/drone strikes by default). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting.",0,US-Iran regional conflict,1773059279,,,,
IRN35980,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),,8,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,1,18,,364,Middle East,Iran,Sistan and Baluchestan,Chabahar,Central,Chabahar,25.2919,60.6430,1,Mamlekate,New media,"On 4 March 2026, US forces targeted a reported IRGC ammunition depot in Chabahar (Chabahar, Sistan and Baluchestan) (coded as air/drone strikes by default). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown. US forces were excluded as actors in this event because the reported location falls outside the declared Israeli strike zones at the time of reporting.",0,US-Iran regional conflict,1773059279,,,,
IRN35981,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Markazi,Arak,Central,Arak,34.0917,49.6892,1,Mamlekate,New media,"On 4 March 2026, Israeli forces targeted an unspecified target in Arak (Arak, Markazi) (coded as air/drone strikes by default). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35982,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),,8,,,0,80,,364,Middle East,Iran,Bushehr,Bushehr,Central,Bandar e Bushehr,28.9684,50.8385,1,Mamlekate,New media,"On 4 March 2026, US forces targeted an unspecified target in Bandar e Bushehr (Bushehr, Bushehr) (coded as air/drone strikes by default). Israeli forces were excluded as actors in this event because the reported location falls outside the declared Israeli strike zones at the time of reporting. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35983,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),,8,Military Forces of Iran (1989-),,1,18,,364,Middle East,Iran,Bushehr,Jam,Central,Jam,27.8282,52.3254,1,Mamlekate,New media,"On 4 March 2026, US forces targeted a reported Iranian missile base in Jam (Jam, Bushehr) (coded as air/drone strikes by default). Israeli forces were excluded as actors in this event because the reported location falls outside the declared Israeli strike zones at the time of reporting. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
